station_id,num_docks_disabled,station_status,eightd_has_available_keys,is_installed,legacy_id,num_ebikes_available,num_docks_available,last_reported,num_bikes_disabled,is_renting,is_returning,num_bikes_available,eightd_active_station_services,valet
3913,0,active,False,1,3913,0,7,1656546068,0,1,1,12,,
3914,0,active,False,1,3914,0,31,1656546072,2,1,1,6,,
3916,0,active,False,1,3916,0,1,1656545664,0,1,1,43,,
3917,0,active,False,1,3917,0,1,1656546035,2,1,1,28,,
3920,0,active,False,1,3920,0,14,1656544796,4,1,1,1,,
3921,0,active,False,1,3921,0,13,1656545890,2,1,1,4,,
3922,0,active,False,1,3922,1,0,1656545131,1,1,1,18,,
3923,0,active,False,1,3923,0,9,1656541506,0,1,1,8,,
3924,0,active,False,1,3924,2,16,1656545819,1,1,1,9,,
3926,0,active,False,1,3926,4,15,1656545988,0,1,1,5,,
3927,0,active,False,1,3927,1,21,1656546020,3,1,1,3,,
3928,0,active,False,1,3928,1,14,1656545358,7,1,1,2,,
3929,0,active,False,1,3929,1,15,1656546016,1,1,1,3,,
3930,0,active,False,1,3930,0,11,1656545831,1,1,1,7,,
3931,0,active,False,1,3931,0,19,1656535373,0,1,1,4,,
3932,0,active,False,1,3932,0,22,1656542110,0,1,1,1,,
3933,0,active,False,1,3933,1,11,1656546087,1,1,1,7,,
3934,0,active,False,1,3934,0,11,1656545944,1,1,1,15,,
3935,1,active,False,1,3935,1,16,1656546031,1,1,1,1,,
3936,0,active,False,1,3936,0,15,1656545480,1,1,1,3,,
3937,0,active,False,1,3937,0,21,1656541877,1,1,1,1,,
3938,0,active,False,1,3938,1,10,1656542003,1,1,1,8,,
3939,0,active,False,1,3939,0,10,1656544955,0,1,1,11,,
3940,0,active,False,1,3940,0,9,1656541385,2,1,1,5,,
3941,0,active,False,1,3941,0,8,1656539800,0,1,1,9,,
3942,0,active,False,1,3942,0,11,1656545837,3,1,1,7,,
3944,0,active,False,1,3944,1,28,1656545978,1,1,1,1,,
3945,0,active,False,1,3945,0,19,1656545780,2,1,1,0,,
3946,0,active,False,1,3946,1,15,1656545741,1,1,1,5,,
3947,0,active,False,1,3947,0,14,1656541886,0,1,1,4,,
3948,0,active,False,1,3948,1,19,1656545555,1,1,1,3,,
3949,0,active,False,1,3949,0,2,1656545035,1,1,1,20,,
3950,0,active,False,1,3950,0,12,1656545561,0,1,1,7,,
3951,0,active,False,1,3951,0,13,1656544422,0,1,1,6,,
3952,0,active,False,1,3952,0,15,1656544145,0,1,1,4,,
3953,0,active,False,1,3953,0,22,1656545539,0,1,1,3,,
3955,0,active,False,1,3955,0,13,1656544468,0,1,1,5,,
3956,0,active,False,1,3956,0,20,1656546093,0,1,1,3,,
3957,0,active,False,1,3957,0,13,1656543721,1,1,1,4,,
3958,0,active,False,1,3958,0,21,1656541565,0,1,1,2,,
3959,0,active,False,1,3959,1,27,1656545921,2,1,1,2,,
3960,0,active,False,1,3960,0,19,1656543744,2,1,1,0,,
3961,0,active,False,1,3961,0,12,1656536995,0,1,1,7,,
3963,0,active,False,1,3963,0,24,1656545551,1,1,1,5,,
3964,0,active,False,1,3964,0,18,1656544285,1,1,1,0,,
3965,0,active,False,1,3965,1,13,1656544671,0,1,1,6,,
3966,0,active,False,1,3966,0,15,1656532069,0,1,1,4,,
3967,29,active,False,1,3967,0,0,1656545846,1,1,1,0,,
3968,0,active,False,1,3968,0,7,1656545986,1,1,1,12,,
3969,0,active,False,1,3969,0,13,1656543786,0,1,1,5,,
3970,0,active,False,1,3970,1,16,1656543107,1,1,1,2,,
3972,0,active,False,1,3972,0,22,1656542560,1,1,1,0,,
3973,0,active,False,1,3973,0,25,1656545661,1,1,1,0,,
3975,0,active,False,1,3975,2,18,1656545849,0,1,1,3,,
3976,0,active,False,1,3976,0,12,1656543730,2,1,1,5,,
3977,0,active,False,1,3977,0,29,1656542337,0,1,1,0,,
3978,0,active,False,1,3978,1,16,1656544861,0,1,1,2,,
3980,0,active,False,1,3980,0,17,1656545718,2,1,1,0,,
3981,0,active,False,1,3981,0,24,1656545957,0,1,1,0,,
3982,0,active,False,1,3982,1,15,1656544692,4,1,1,2,,
3983,0,active,False,1,3983,2,12,1656544807,1,1,1,10,,
3984,0,active,False,1,3984,0,16,1656543055,1,1,1,5,,
3985,0,active,False,1,3985,0,21,1656543556,0,1,1,1,,
3986,0,active,False,1,3986,0,22,1656545922,2,1,1,10,,
3987,0,active,False,1,3987,1,19,1656543692,2,1,1,2,,
3988,0,active,False,1,3988,1,11,1656544922,0,1,1,8,,
3989,0,active,False,1,3989,0,19,1656545000,1,1,1,2,,
3994,0,active,False,1,3994,1,12,1656545975,3,1,1,12,,
3995,0,active,False,1,3995,0,17,1656546124,2,1,1,2,,
3996,0,active,False,1,3996,0,19,1656538404,0,1,1,5,,
3997,0,active,False,1,3997,0,18,1656545238,0,1,1,2,,
3998,0,active,False,1,3998,1,28,1656544494,0,1,1,1,,
3999,0,active,False,1,3999,0,21,1656546078,0,1,1,1,,
4000,0,active,False,1,4000,0,16,1656543261,1,1,1,5,,
4001,0,active,False,1,4001,0,20,1656545131,0,1,1,3,,
4002,0,active,False,1,4002,0,17,1656544239,0,1,1,6,,
4004,0,active,False,1,4004,1,15,1656545559,0,1,1,5,,
4005,0,active,False,1,4005,1,22,1656545795,1,1,1,1,,
4006,0,active,False,1,4006,1,12,1656545658,1,1,1,12,,
4007,0,active,False,1,4007,0,20,1656545049,1,1,1,7,,
4008,0,active,False,1,4008,0,19,1656545831,1,1,1,3,,
4009,0,active,False,1,4009,1,29,1656545273,1,1,1,5,,
4010,0,active,False,1,4010,0,0,86400,0,1,1,0,,
4011,0,active,False,1,4011,0,22,1656544816,0,1,1,3,,
4012,0,active,False,1,4012,2,20,1656545912,0,1,1,3,,
4013,0,active,False,1,4013,0,21,1656540355,1,1,1,2,,
4014,0,active,False,1,4014,1,18,1656545101,2,1,1,1,,
4015,0,active,False,1,4015,1,14,1656545511,0,1,1,17,,
4016,0,active,False,1,4016,0,21,1656543291,1,1,1,0,,
4017,0,active,False,1,4017,1,21,1656545596,0,1,1,1,,
4018,0,active,False,1,4018,0,17,1656545488,2,1,1,2,,
4019,0,active,False,1,4019,2,12,1656542824,0,1,1,5,,
4020,0,active,False,1,4020,0,17,1656545578,0,1,1,5,,
4021,0,active,False,1,4021,0,18,1656544771,1,1,1,2,,
4022,0,out_of_service,False,0,4022,0,0,86400,0,0,0,0,,
